OrderID,OrderDate,SupplierID,ProductID,QuantityOrdered,DeliveryStatus,Carrier,ExpectedDeliveryDate,ActualDeliveryDate,DaysDelayed,ShippingCost,SupplierName,Location,Rating,ContractType,ProductName,Category,ShelfLifeDays,StorageTemp,UnitCost,OrderValue,IsSeverelyDelayed
ORD-SC-00011,2024-08-08,SUP-009,PRD-0026,4901.0,Delivered,Cold Chain Express,2024-08-15,2024-08-15,0.0,2820.59,Supplier_9,Lagos,A,Short-term,Evaporated Milk,By-Products,142,Frozen,414.97,2033767.9700000002,False
ORD-SC-00012,2025-02-26,SUP-017,PRD-0002,4985.0,Delivered,Green Logistics,2025-03-03,2025-03-05,2.0,2917.82,Supplier_17,Lagos,A,Long-term,Raw Milk Grade B,Yogurt & Fermented,67,Room Temp,282.93,1410406.05,False
ORD-SC-00013,2024-05-17,SUP-012,PRD-0017,4615.0,Delivered,DHL Logistics,2024-05-23,2024-05-23,0.0,2366.29,Supplier_12,Lagos,B,Long-term,Whey Powder,Chocolate,15,Room Temp,158.82,732954.2999999999,False
ORD-SC-00014,2024-06-17,SUP-001,PRD-0013,2734.0,Delivered,Cold Chain Express,2024-06-21,2024-06-22,1.0,1291.64,Supplier_1,Port Harcourt,B,Short-term,Yogurt Flavored,Liquid Milk,126,4-8°C,460.09,1257886.0599999998,False
ORD-SC-00015,2025-05-04,SUP-024,PRD-0012,3909.0,In Transit,FedEx Supply,2025-05-09,2025-05-11,2.0,2143.05,Supplier_24,Ibadan,A,Trial,Yogurt Natural,By-Products,347,4-8°C,449.13,1755649.17,False
ORD-SC-00016,2024-11-20,SUP-016,PRD-0015,2191.0,Delivered,Swift Cargo,2024-11-27,2024-11-28,1.0,1473.68,Supplier_16,Ibadan,A,Long-term,Cheese Mozzarella,Liquid Milk,65,4-8°C,62.4,136718.4,False
ORD-SC-00017,2025-05-21,SUP-021,PRD-0023,4087.0,Delivered,Green Logistics,2025-05-27,2025-05-27,0.0,2312.29,Supplier_21,Kaduna,B,Short-term,Kefir,Powdered Milk,83,Frozen,165.13,674886.3099999999,False
ORD-SC-00018,2024-08-03,SUP-022,PRD-0014,4044.0,In Transit,DHL Logistics,2024-08-09,2024-08-11,2.0,2275.51,Supplier_22,Kano,B,Long-term,Cheese Cheddar,By-Products,257,Room Temp,139.73,565068.12,False
ORD-SC-00019,2025-02-09,SUP-010,PRD-0029,4771.0,In Transit,FedEx Supply,2025-02-15,2025-02-17,2.0,2826.72,Supplier_10,Abuja,A,Long-term,Cocoa Butter,Cheese,264,Room Temp,232.33,1108446.4300000002,False
ORD-SC-00020,2024-02-14,SUP-025,PRD-0005,3177.0,Delivered,Cold Chain Express,2024-02-16,2024-02-15,-1.0,1948.59,Supplier_25,Kaduna,B,Long-term,Skimmed Milk,By-Products,330,Frozen,442.9,1407093.2999999998,False
ORD-SC-00021,2024-12-05,SUP-025,PRD-0001,711.0,Delivered,FedEx Supply,2024-12-08,2024-12-08,0.0,684.14,Supplier_25,Kaduna,B,Long-term,Raw Milk Grade A,Chocolate,356,4-8°C,371.84,264378.24,False
ORD-SC-00022,2024-12-03,SUP-012,PRD-0016,4466.0,In Transit,Cold Chain Express,2024-12-04,2024-12-05,1.0,2363.54,Supplier_12,Lagos,B,Long-term,Cheese Cream,By-Products,84,Room Temp,417.8,1865894.8,False
ORD-SC-00023,2025-01-18,SUP-023,PRD-0007,3109.0,Delivered,Cold Chain Express,2025-01-25,2025-01-24,-1.0,1693.18,Supplier_23,Port Harcourt,B,Long-term,Skimmed Milk Powder,Butter & Cream,314,Frozen,494.37,1536996.33,False
ORD-SC-00024,2024-04-18,SUP-016,PRD-0001,2058.0,Delivered,DHL Logistics,2024-04-23,2024-04-24,1.0,1289.57,Supplier_16,Ibadan,A,Long-term,Raw Milk Grade A,Chocolate,356,4-8°C,371.84,765246.72,False
ORD-SC-00025,2024-09-04,SUP-015,PRD-0029,3846.0,Delivered,Local Transport,2024-09-06,2024-09-08,2.0,1977.8,Supplier_15,Kano,A,Trial,Cocoa Butter,Cheese,264,Room Temp,232.33,893541.18,False
ORD-SC-00026,2024-01-15,SUP-016,PRD-0022,2271.0,Delivered,Local Transport,2024-01-25,2024-01-27,2.0,1590.14,Supplier_16,Ibadan,A,Long-term,Probiotic Drink,By-Products,47,Room Temp,237.56,539498.76,False
ORD-SC-00027,2025-06-19,SUP-014,PRD-0011,2862.0,Delayed,Local Transport,2025-06-26,2025-07-01,5.0,1758.33,Supplier_14,Calabar,A,Short-term,Cream Light,Powdered Milk,326,Frozen,52.41,149997.41999999998,False
ORD-SC-00028,2024-08-26,SUP-012,PRD-0025,2608.0,Delivered,FedEx Supply,2024-09-01,2024-09-01,0.0,1927.92,Supplier_12,Lagos,B,Long-term,Condensed Milk,Yogurt & Fermented,130,Room Temp,413.32,1077938.56,False
ORD-SC-00029,2024-06-01,SUP-023,PRD-0001,605.0,Delivered,Local Transport,2024-06-05,2024-06-07,2.0,453.44,Supplier_23,Port Harcourt,B,Long-term,Raw Milk Grade A,Chocolate,356,4-8°C,371.84,224963.19999999998,False
ORD-SC-00030,2024-05-06,SUP-019,PRD-0019,1928.0,Delivered,Green Logistics,2024-05-09,2024-05-11,2.0,1177.6,Supplier_19,Ibadan,B,Short-term,Lactose,Yogurt & Fermented,72,4-8°C,80.4,155011.2,False
ORD-SC-00031,2024-05-23,SUP-025,PRD-0024,2476.0,Delivered,Swift Cargo,2024-05-31,2024-06-02,2.0,1418.42,Supplier_25,Kaduna,B,Long-term,Buttermilk,Liquid Milk,160,Room Temp,221.68,548879.68,False
ORD-SC-00032,2025-04-09,SUP-018,PRD-0010,486.0,Delayed,DHL Logistics,2025-04-16,2025-04-24,8.0,489.2,Supplier_18,Lagos,C,Long-term,Cream Heavy,Yogurt & Fermented,148,Room Temp,79.46,38617.56,True
ORD-SC-00033,2025-05-09,SUP-009,PRD-0008,4324.0,Delivered,Cold Chain Express,2025-05-13,2025-05-15,2.0,2252.34,Supplier_9,Lagos,A,Short-term,Butter Salted,Yogurt & Fermented,142,4-8°C,207.24,896105.76,False
ORD-SC-00034,2024-08-06,SUP-025,PRD-0025,1482.0,In Transit,Cold Chain Express,2024-08-07,2024-08-10,3.0,1125.1,Supplier_25,Kaduna,B,Long-term,Condensed Milk,Yogurt & Fermented,130,Room Temp,413.32,612540.24,False
ORD-SC-00035,2025-05-31,SUP-022,PRD-0011,393.0,Delivered,Swift Cargo,2025-06-03,2025-06-02,-1.0,682.97,Supplier_22,Kano,B,Long-term,Cream Light,Powdered Milk,326,Frozen,52.41,20597.129999999997,False
ORD-SC-00036,2024-05-29,SUP-009,PRD-0010,2655.0,Delivered,Swift Cargo,2024-06-02,2024-06-03,1.0,1559.96,Supplier_9,Lagos,A,Short-term,Cream Heavy,Yogurt & Fermented,148,Room Temp,79.46,210966.3,False
ORD-SC-00037,2025-06-28,SUP-009,PRD-0010,3668.0,Delivered,Cold Chain Express,2025-07-07,2025-07-09,2.0,1925.94,Supplier_9,Lagos,A,Short-term,Cream Heavy,Yogurt & Fermented,148,Room Temp,79.46,291459.27999999997,False
ORD-SC-00038,2025-02-27,SUP-005,PRD-0027,3244.0,Cancelled,FedEx Supply,2025-03-04,,0.0,1937.38,Supplier_5,Kano,B,Long-term,Milk Chocolate,Powdered Milk,276,4-8°C,358.78,1163882.3199999998,False
ORD-SC-00039,2025-01-20,SUP-004,PRD-0009,962.0,Delivered,Local Transport,2025-01-25,2025-01-25,0.0,802.99,Supplier_4,Abuja,B,Long-term,Butter Unsalted,Cheese,95,2-4°C,421.79,405761.98000000004,False
ORD-SC-00040,2024-04-16,SUP-015,PRD-0020,3421.0,Delivered,Green Logistics,2024-04-17,2024-04-16,-1.0,1819.3,Supplier_15,Kano,A,Trial,Ice Cream Mix,Liquid Milk,229,4-8°C,263.24,900544.04,False
ORD-SC-00041,2025-04-11,SUP-025,PRD-0014,4512.0,Delivered,DHL Logistics,2025-04-12,2025-04-11,-1.0,2353.35,Supplier_25,Kaduna,B,Long-term,Cheese Cheddar,By-Products,257,Room Temp,139.73,630461.76,False
ORD-SC-00042,2024-12-25,SUP-016,PRD-0013,3727.0,Delivered,Local Transport,2025-01-01,2025-01-03,2.0,2327.62,Supplier_16,Ibadan,A,Long-term,Yogurt Flavored,Liquid Milk,126,4-8°C,460.09,1714755.43,False
ORD-SC-00043,2025-02-23,SUP-022,PRD-0019,1178.0,Delivered,Swift Cargo,2025-02-24,2025-02-25,1.0,1052.9,Supplier_22,Kano,B,Long-term,Lactose,Yogurt & Fermented,72,4-8°C,80.4,94711.20000000001,False
ORD-SC-00044,2025-05-03,SUP-003,PRD-0022,313.0,Delivered,Local Transport,2025-05-05,2025-05-07,2.0,495.52,Supplier_3,Benin City,A,Long-term,Probiotic Drink,By-Products,47,Room Temp,237.56,74356.28,False
ORD-SC-00045,2025-03-12,SUP-012,PRD-0004,3670.0,Delivered,Local Transport,2025-03-15,2025-03-16,1.0,,Supplier_12,Lagos,B,Long-term,UHT Milk,Powdered Milk,261,Frozen,334.75,1228532.5,False
ORD-SC-00046,2024-06-22,SUP-013,PRD-0005,3890.0,Delivered,Local Transport,2024-06-26,2024-06-28,2.0,2078.86,Supplier_13,Lagos,B,Long-term,Skimmed Milk,By-Products,330,Frozen,442.9,1722881.0,False
ORD-SC-00047,2025-05-25,SUP-025,PRD-0018,726.0,Delivered,Cold Chain Express,2025-05-28,2025-05-27,-1.0,549.9,Supplier_25,Kaduna,B,Long-term,Casein,Chocolate,213,Room Temp,75.24,54624.24,False
ORD-SC-00048,2024-02-23,SUP-023,PRD-0017,3313.0,Delivered,DHL Logistics,2024-02-24,2024-02-26,2.0,1923.87,Supplier_23,Port Harcourt,B,Long-term,Whey Powder,Chocolate,15,Room Temp,158.82,526170.66,False
ORD-SC-00049,2024-11-26,SUP-008,PRD-0016,555.0,Delivered,DHL Logistics,2024-11-27,2024-11-27,0.0,751.05,Supplier_8,Abuja,B,Long-term,Cheese Cream,By-Products,84,Room Temp,417.8,231879.0,False
ORD-SC-00050,2025-05-10,SUP-018,PRD-0016,3266.0,Delivered,Local Transport,2025-05-15,2025-05-16,1.0,2057.63,Supplier_18,Lagos,C,Long-term,Cheese Cream,By-Products,84,Room Temp,417.8,1364534.8,False
ORD-SC-00051,2024-03-24,SUP-010,PRD-0022,411.0,Delivered,Local Transport,2024-03-25,2024-03-27,2.0,521.42,Supplier_10,Abuja,A,Long-term,Probiotic Drink,By-Products,47,Room Temp,237.56,97637.16,False
ORD-SC-00052,2024-12-16,SUP-023,PRD-0017,1052.0,Delivered,DHL Logistics,2024-12-18,2024-12-20,2.0,729.24,Supplier_23,Port Harcourt,B,Long-term,Whey Powder,Chocolate,15,Room Temp,158.82,167078.63999999998,False
ORD-SC-00053,2024-02-09,SUP-016,PRD-0012,3241.0,Delayed,FedEx Supply,2024-02-11,2024-02-24,13.0,1798.42,Supplier_16,Ibadan,A,Long-term,Yogurt Natural,By-Products,347,4-8°C,449.13,1455630.33,True
ORD-SC-00054,2025-05-16,SUP-002,PRD-0030,1496.0,Delivered,Local Transport,2025-05-31,2025-06-02,2.0,1083.37,Supplier_2,Port Harcourt,B,Trial,Cocoa Powder,Chocolate,254,Frozen,135.58,202827.68000000002,False
ORD-SC-00055,2024-11-30,SUP-021,PRD-0013,4617.0,Delivered,Local Transport,2024-12-02,2024-12-01,-1.0,2508.99,Supplier_21,Kaduna,B,Short-term,Yogurt Flavored,Liquid Milk,126,4-8°C,460.09,2124235.53,False
ORD-SC-00056,2024-01-30,SUP-008,PRD-0002,1932.0,Delivered,FedEx Supply,2024-02-09,2024-02-11,2.0,1019.24,Supplier_8,Abuja,B,Long-term,Raw Milk Grade B,Yogurt & Fermented,67,Room Temp,282.93,546620.76,False
ORD-SC-00057,2024-01-20,SUP-010,PRD-0003,2494.0,Delivered,Local Transport,2024-01-22,2024-01-21,-1.0,1564.34,Supplier_10,Abuja,A,Long-term,Pasteurized Milk,Chocolate,328,2-4°C,208.42,519799.48,False
ORD-SC-00058,2024-10-20,SUP-016,PRD-0002,4165.0,Delayed,Green Logistics,2024-10-29,2024-11-01,3.0,2171.54,Supplier_16,Ibadan,A,Long-term,Raw Milk Grade B,Yogurt & Fermented,67,Room Temp,282.93,1178403.45,False
ORD-SC-00059,2024-01-02,SUP-022,PRD-0016,4410.0,Delivered,DHL Logistics,2024-01-07,2024-01-06,-1.0,2692.86,Supplier_22,Kano,B,Long-term,Cheese Cream,By-Products,84,Room Temp,417.8,1842498.0,False
ORD-SC-00060,2024-05-13,SUP-011,PRD-0008,1335.0,Delivered,Cold Chain Express,2024-05-16,2024-05-17,1.0,748.73,Supplier_11,Calabar,C,Long-term,Butter Salted,Yogurt & Fermented,142,4-8°C,207.24,276665.4,False
ORD-SC-00061,2024-12-27,SUP-016,PRD-0013,4410.0,Delivered,Green Logistics,2024-12-30,2024-12-29,-1.0,2526.58,Supplier_16,Ibadan,A,Long-term,Yogurt Flavored,Liquid Milk,126,4-8°C,460.09,2028996.9,False
ORD-SC-00062,2024-03-22,SUP-014,PRD-0027,4541.0,In Transit,Green Logistics,2024-03-24,2024-03-28,4.0,2397.34,Supplier_14,Calabar,A,Short-term,Milk Chocolate,Powdered Milk,276,4-8°C,358.78,1629219.98,False
ORD-SC-00063,2024-01-26,SUP-005,PRD-0005,2403.0,Delivered,Green Logistics,2024-02-01,2024-02-03,2.0,1324.15,Supplier_5,Kano,B,Long-term,Skimmed Milk,By-Products,330,Frozen,442.9,1064288.7,False
ORD-SC-00064,2025-04-22,SUP-019,PRD-0006,1631.0,Delivered,FedEx Supply,2025-04-24,2025-04-25,1.0,922.7,Supplier_19,Ibadan,B,Short-term,Whole Milk Powder,Chocolate,307,4-8°C,125.55,204772.05,False
ORD-SC-00065,2025-03-30,SUP-004,PRD-0016,2728.0,Delivered,Cold Chain Express,2025-04-04,2025-04-03,-1.0,1523.76,Supplier_4,Abuja,B,Long-term,Cheese Cream,By-Products,84,Room Temp,417.8,1139758.4000000001,False
ORD-SC-00066,2025-03-18,SUP-025,PRD-0001,3256.0,Delivered,Swift Cargo,2025-03-24,2025-03-24,0.0,1996.83,Supplier_25,Kaduna,B,Long-term,Raw Milk Grade A,Chocolate,356,4-8°C,371.84,1210711.0399999998,False
ORD-SC-00067,2025-02-17,SUP-021,PRD-0028,287.0,Delivered,Green Logistics,2025-02-23,2025-02-24,1.0,269.28,Supplier_21,Kaduna,B,Short-term,White Chocolate,Yogurt & Fermented,258,4-8°C,496.68,142547.16,False
ORD-SC-00068,2025-02-09,SUP-013,PRD-0013,3413.0,In Transit,DHL Logistics,2025-03-01,2025-03-01,0.0,2110.61,Supplier_13,Lagos,B,Long-term,Yogurt Flavored,Liquid Milk,126,4-8°C,460.09,1570287.17,False
ORD-SC-00069,2024-05-24,SUP-011,PRD-0023,488.0,Delayed,Cold Chain Express,2024-05-29,2024-06-04,6.0,610.85,Supplier_11,Calabar,C,Long-term,Kefir,Powdered Milk,83,Frozen,165.13,80583.44,True
ORD-SC-00070,2024-10-13,SUP-022,PRD-0007,3603.0,Delivered,Green Logistics,2024-10-15,2024-10-14,-1.0,1993.58,Supplier_22,Kano,B,Long-term,Skimmed Milk Powder,Butter & Cream,314,Frozen,494.37,1781215.11,False
ORD-SC-00071,2025-03-15,SUP-018,PRD-0009,3667.0,Delivered,Green Logistics,2025-03-17,2025-03-16,-1.0,2126.98,Supplier_18,Lagos,C,Long-term,Butter Unsalted,Cheese,95,2-4°C,421.79,1546703.9300000002,False
ORD-SC-00072,2025-04-09,SUP-017,PRD-0012,3080.0,Delivered,FedEx Supply,2025-04-11,2025-04-10,-1.0,2012.04,Supplier_17,Lagos,A,Long-term,Yogurt Natural,By-Products,347,4-8°C,449.13,1383320.4,False
ORD-SC-00073,2024-06-07,SUP-011,PRD-0002,3166.0,Delivered,Green Logistics,2024-06-11,2024-06-12,1.0,1694.4,Supplier_11,Calabar,C,Long-term,Raw Milk Grade B,Yogurt & Fermented,67,Room Temp,282.93,895756.38,False
ORD-SC-00074,2024-01-13,SUP-013,PRD-0019,3754.0,Delivered,FedEx Supply,2024-01-15,2024-01-15,0.0,2103.06,Supplier_13,Lagos,B,Long-term,Lactose,Yogurt & Fermented,72,4-8°C,80.4,301821.60000000003,False
ORD-SC-00075,2025-04-12,SUP-014,PRD-0023,625.0,In Transit,Local Transport,2025-04-17,2025-04-21,4.0,526.29,Supplier_14,Calabar,A,Short-term,Kefir,Powdered Milk,83,Frozen,165.13,103206.25,False
ORD-SC-00076,2025-02-04,SUP-004,PRD-0014,328.0,Delayed,Cold Chain Express,2025-02-08,2025-02-17,9.0,300.13,Supplier_4,Abuja,B,Long-term,Cheese Cheddar,By-Products,257,Room Temp,139.73,45831.439999999995,True
ORD-SC-00077,2024-04-02,SUP-001,PRD-0009,2995.0,In Transit,FedEx Supply,2024-04-04,2024-04-08,4.0,1932.88,Supplier_1,Port Harcourt,B,Short-term,Butter Unsalted,Cheese,95,2-4°C,421.79,1263261.05,False
ORD-SC-00078,2024-12-20,SUP-021,PRD-0007,4680.0,Delivered,FedEx Supply,2024-12-21,2024-12-20,-1.0,2615.0,Supplier_21,Kaduna,B,Short-term,Skimmed Milk Powder,Butter & Cream,314,Frozen,494.37,2313651.6,False
ORD-SC-00079,2025-06-03,SUP-018,PRD-0015,1529.0,Delivered,Cold Chain Express,2025-06-08,2025-06-07,-1.0,983.33,Supplier_18,Lagos,C,Long-term,Cheese Mozzarella,Liquid Milk,65,4-8°C,62.4,95409.59999999999,False
ORD-SC-00080,2024-06-14,SUP-014,PRD-0013,3974.0,Delivered,Local Transport,2024-06-15,2024-06-16,1.0,2402.58,Supplier_14,Calabar,A,Short-term,Yogurt Flavored,Liquid Milk,126,4-8°C,460.09,1828397.66,False
ORD-SC-00081,2024-01-15,SUP-012,PRD-0006,3921.0,Delivered,DHL Logistics,2024-01-18,2024-01-17,-1.0,2082.35,Supplier_12,Lagos,B,Long-term,Whole Milk Powder,Chocolate,307,4-8°C,125.55,492281.55,False
ORD-SC-00082,2025-04-25,SUP-012,PRD-0008,3019.0,Cancelled,Swift Cargo,2025-04-26,,0.0,1720.03,Supplier_12,Lagos,B,Long-term,Butter Salted,Yogurt & Fermented,142,4-8°C,207.24,625657.56,False
ORD-SC-00083,2024-02-07,SUP-012,PRD-0029,4272.0,Delivered,Swift Cargo,2024-02-13,2024-02-12,-1.0,2334.65,Supplier_12,Lagos,B,Long-term,Cocoa Butter,Cheese,264,Room Temp,232.33,992513.76,False
ORD-SC-00084,2024-03-03,SUP-014,PRD-0006,1821.0,Delivered,Local Transport,2024-03-04,2024-03-03,-1.0,,Supplier_14,Calabar,A,Short-term,Whole Milk Powder,Chocolate,307,4-8°C,125.55,228626.55,False
ORD-SC-00085,2025-03-21,SUP-024,PRD-0022,3861.0,In Transit,Cold Chain Express,2025-03-27,2025-03-28,1.0,1992.55,Supplier_24,Ibadan,A,Trial,Probiotic Drink,By-Products,47,Room Temp,237.56,917219.16,False
ORD-SC-00086,2025-06-10,SUP-005,PRD-0022,4933.0,Delayed,Cold Chain Express,2025-06-13,2025-06-20,7.0,2724.75,Supplier_5,Kano,B,Long-term,Probiotic Drink,By-Products,47,Room Temp,237.56,1171883.48,True
ORD-SC-00087,2024-03-02,SUP-023,PRD-0002,942.0,Delivered,FedEx Supply,2024-03-04,2024-03-05,1.0,863.47,Supplier_23,Port Harcourt,B,Long-term,Raw Milk Grade B,Yogurt & Fermented,67,Room Temp,282.93,266520.06,False
ORD-SC-00088,2024-12-27,SUP-002,PRD-0023,3179.0,Delivered,Green Logistics,2024-12-30,2024-12-30,0.0,2051.85,Supplier_2,Port Harcourt,B,Trial,Kefir,Powdered Milk,83,Frozen,165.13,524948.27,False
ORD-SC-00089,2024-03-22,SUP-008,PRD-0006,2908.0,Delivered,Green Logistics,2024-03-26,2024-03-28,2.0,1875.5,Supplier_8,Abuja,B,Long-term,Whole Milk Powder,Chocolate,307,4-8°C,125.55,365099.39999999997,False
ORD-SC-00090,2024-08-10,SUP-018,PRD-0021,4890.0,Delivered,Green Logistics,2024-08-13,2024-08-14,1.0,2694.78,Supplier_18,Lagos,C,Long-term,Flavored Milk,Powdered Milk,205,Frozen,279.24,1365483.6,False
ORD-SC-00091,2025-02-07,SUP-023,PRD-0024,2682.0,Delivered,FedEx Supply,2025-02-10,2025-02-11,1.0,1587.88,Supplier_23,Port Harcourt,B,Long-term,Buttermilk,Liquid Milk,160,Room Temp,221.68,594545.76,False
ORD-SC-00092,2025-03-18,SUP-018,PRD-0025,4881.0,Delivered,DHL Logistics,2025-03-21,2025-03-21,0.0,2793.2,Supplier_18,Lagos,C,Long-term,Condensed Milk,Yogurt & Fermented,130,Room Temp,413.32,2017414.92,False
ORD-SC-00093,2024-01-07,SUP-014,PRD-0008,1627.0,Delivered,Cold Chain Express,2024-01-09,2024-01-09,0.0,1019.42,Supplier_14,Calabar,A,Short-term,Butter Salted,Yogurt & Fermented,142,4-8°C,207.24,337179.48000000004,False
ORD-SC-00094,2024-08-29,SUP-021,PRD-0013,1783.0,Delivered,Green Logistics,2024-09-03,2024-09-05,2.0,1169.7,Supplier_21,Kaduna,B,Short-term,Yogurt Flavored,Liquid Milk,126,4-8°C,460.09,820340.47,False
ORD-SC-00095,2024-08-12,SUP-013,PRD-0003,2361.5,Delivered,Swift Cargo,2024-08-16,2024-08-15,-1.0,757.9,Supplier_13,Lagos,B,Long-term,Pasteurized Milk,Chocolate,328,2-4°C,208.42,492183.82999999996,False
ORD-SC-00096,2024-09-16,SUP-001,PRD-0001,1909.0,In Transit,DHL Logistics,2024-09-19,2024-09-19,0.0,1356.58,Supplier_1,Port Harcourt,B,Short-term,Raw Milk Grade A,Chocolate,356,4-8°C,371.84,709842.5599999999,False
ORD-SC-00097,2024-05-08,SUP-002,PRD-0012,2355.0,Delivered,FedEx Supply,2024-05-10,2024-05-11,1.0,1551.59,Supplier_2,Port Harcourt,B,Trial,Yogurt Natural,By-Products,347,4-8°C,449.13,1057701.15,False
ORD-SC-00098,2024-04-14,SUP-001,PRD-0005,1211.0,Delivered,Green Logistics,2024-04-19,2024-04-19,0.0,1076.89,Supplier_1,Port Harcourt,B,Short-term,Skimmed Milk,By-Products,330,Frozen,442.9,536351.9,False
ORD-SC-00099,2024-05-06,SUP-008,PRD-0023,1790.0,Delivered,Swift Cargo,2024-05-09,2024-05-11,2.0,1232.34,Supplier_8,Abuja,B,Long-term,Kefir,Powdered Milk,83,Frozen,165.13,295582.7,False
ORD-SC-00100,2024-11-29,SUP-021,PRD-0022,3614.0,Delivered,Cold Chain Express,2024-11-30,2024-11-29,-1.0,2256.46,Supplier_21,Kaduna,B,Short-term,Probiotic Drink,By-Products,47,Room Temp,237.56,858541.84,False
ORD-SC-00101,2024-06-14,SUP-019,PRD-0001,3004.0,Delivered,DHL Logistics,2024-06-18,2024-06-17,-1.0,1779.25,Supplier_19,Ibadan,B,Short-term,Raw Milk Grade A,Chocolate,356,4-8°C,371.84,1117007.3599999999,False
ORD-SC-00102,2025-05-08,SUP-013,PRD-0027,3169.0,Delivered,Swift Cargo,2025-05-14,2025-05-16,2.0,1778.29,Supplier_13,Lagos,B,Long-term,Milk Chocolate,Powdered Milk,276,4-8°C,358.78,1136973.8199999998,False
ORD-SC-00103,2024-08-12,SUP-001,PRD-0021,2796.0,In Transit,Swift Cargo,2024-08-15,2024-08-16,1.0,1768.43,Supplier_1,Port Harcourt,B,Short-term,Flavored Milk,Powdered Milk,205,Frozen,279.24,780755.04,False
ORD-SC-00104,2025-06-10,SUP-004,PRD-0021,3752.0,Delivered,Local Transport,2025-06-14,2025-06-14,0.0,2104.06,Supplier_4,Abuja,B,Long-term,Flavored Milk,Powdered Milk,205,Frozen,279.24,1047708.48,False
ORD-SC-00105,2025-05-29,SUP-023,PRD-0013,1622.0,Delivered,DHL Logistics,2025-05-30,2025-05-30,0.0,1296.31,Supplier_23,Port Harcourt,B,Long-term,Yogurt Flavored,Liquid Milk,126,4-8°C,460.09,746265.98,False
ORD-SC-00106,2025-01-01,SUP-015,PRD-0026,841.0,Delivered,Local Transport,2025-01-02,2025-01-04,2.0,812.78,Supplier_15,Kano,A,Trial,Evaporated Milk,By-Products,142,Frozen,414.97,348989.77,False
ORD-SC-00107,2024-08-26,SUP-001,PRD-0027,1687.0,In Transit,Swift Cargo,2024-08-29,2024-08-30,1.0,1068.16,Supplier_1,Port Harcourt,B,Short-term,Milk Chocolate,Powdered Milk,276,4-8°C,358.78,605261.86,False
ORD-SC-00108,2025-01-12,SUP-003,PRD-0021,3176.0,In Transit,Green Logistics,2025-01-18,2025-01-19,1.0,1852.08,Supplier_3,Benin City,A,Long-term,Flavored Milk,Powdered Milk,205,Frozen,279.24,886866.24,False
